"","stw"
"1","ALMONDSBURY STW CATCHMENT"
"2","BATH STW CATCHMENT"
"3","BOWERHILL STW CATCHMENT"
"4","BRADFORD ON AVON STW CATCHMENT"
"5","BRINKWORTH STW CATCHMENT"
"6","BURTON STW CATCHMENT"
"7","CAM VALLEY STW CATCHMENT"
"8","CHEW STOKE STW CATCHMENT"
"9","CHIPPENHAM STW CATCHMENT"
"10","COLD ASHTON STW CATCHMENT"
"11","COMPTON DANDO STW CATCHMENT"
"12","CRANMORE STW CATCHMENT"
"13","CROMHALL STW CATCHMENT"
"14","DILTON MARSH STW CATCHMENT"
"15","DOYNTON STW CATCHMENT"
"16","DUNDRY STW CATCHMENT"
"17","EAST HARPTREE STW CATCHMENT"
"18","ERLESTOKE STW CATCHMENT"
"19","FARMBOROUGH STW CATCHMENT"
"20","FRESHFORD STW CATCHMENT"
"21","FROME STW CATCHMENT"
"22","GREAT SOMERFORD STW CATCHMENT"
"23","GRITTLETON STW CATCHMENT"
"24","HILMARTON STW CATCHMENT"
"25","HINTON BLEWETT STW CATCHMENT"
"26","KEEVIL STW CATCHMENT"
"27","LAVINGTON WOODBRIDGE STW CATCHMENT"
"28","LUCKINGTON STW CATCHMENT"
"29","MARSHFIELD STW CATCHMENT"
"30","NORTON MALREWARD STW CATCHMENT"
"31","NORTON ST PHILIP STW CATCHMENT"
"32","PARKFIELD STW CATCHMENT"
"33","PRISTON STW CATCHMENT"
"34","PUCKLECHURCH STW CATCHMENT"
"35","RODE STW CATCHMENT"
"36","ROWDE STW CATCHMENT"
"37","SEEND STW CATCHMENT"
"38","SHEPTON MALLET STW CATCHMENT"
"39","SHERSTON STW CATCHMENT"
"40","STANTON DREW STW CATCHMENT"
"41","STRATTON ON THE FOSSE STW CATCHMENT"
"42","SUTTON BENGER STW CATCHMENT"
"43","TETBURY STW CATCHMENT"
"44","URCHFONT STW CATCHMENT"
"45","WELLOW STW CATCHMENT"
"46","WESTWOOD STW CATCHMENT"
"47","WICK STW CATCHMENT"
"48","WICKWAR STW CATCHMENT"
"49","WILLESLEY STW CATCHMENT"
"50","GREAT BADMINTON STW CATCHMENT"
"51","BUSHTON STW CATCHMENT"
"52","NORTH STOKE STW CATCHMENT"
"53","QUEEN CHARLTON STW CATCHMENT"
"54","KINGSTON SEYMOUR STW CATCHMENT"
"55","SOUTH WRAXALL STW CATCHMENT"
"56","TROWBRIDGE STW CATCHMENT"
"57","LYNEHAM STW CATCHMENT"
"58","DEVIZES STW CATCHMENT"
"59","POTTERNE STW CATCHMENT"
"60","RADSTOCK STW CATCHMENT"
"61","WOODBOROUGH HILL STW CATCHMENT"
"62","PAULTON STW CATCHMENT"
"63","SHOSCOMBE STW CATCHMENT"
"64","DALLESTON STW CATCHMENT"
"65","THINGLEY STW CATCHMENT"
"66","WINSLEY STW CATCHMENT"
"67","LYNEHAM STW CATCHMENT"
"68","PORTBURY WHARF STW CATCHMENT"
"69","CALNE STW CATCHMENT"
"70","COMPTON BASSETT STW CATCHMENT"
"71","WESTBURY STW CATCHMENT"
"72","MELKSHAM STW CATCHMENT"
"73","MOORLEDGE STW CATCHMENT"
"74","ENGLISHCOMBE STW CATCHMENT"
"75","LANSDOWN STW CATCHMENT"
"76","MAIDEN BRADLEY STW CATCHMENT"
"77","HULLAVINGTON STW CATCHMENT"
"78","CHEWTON KEYNSHAM STW CATCHMENT"
"79","UBLEY STW CATCHMENT"
"80","ASHWICKE STW CATCHMENT"
"81","CORSLEY HEATH STW CATCHMENT"
"82","MELLS STW CATCHMENT"
"83","STANDERWICK STW CATCHMENT"
"84","LACOCK STW CATCHMENT"
"85","BEWLEY STW CATCHMENT"
"86","MILE ELM STW CATCHMENT"
"87","NORTH WRAXALL STW CATCHMENT"
"88","STOKE ST MICHAEL STW CATCHMENT"
"89","COLEFORD STW CATCHMENT"
"90","OAKHILL STW CATCHMENT"
"91","BECKINGTON STW CATCHMENT"
"92","UPTON NOBLE STW CATCHMENT"
"93","DIDMARTON STW CATCHMENT"
"94","CHILCOMPTON STW CATCHMENT"
"95","BOX STW CATCHMENT"
"96","LONG DEAN STW CATCHMENT"
"97","EDFORD STW CATCHMENT"
"98","ALDERTON STW CATCHMENT"
"99","KEYNSHAM STW CATCHMENT"
"100","KILMERSDON STW CATCHMENT"
"101","WANSTROW STW CATCHMENT"
"102","NUNNEY STW CATCHMENT"
"103","TOCKENHAM STW CATCHMENT"
"104","LEIGH ON MENDIP STW CATCHMENT"
"105","MALMESBURY STW CATCHMENT"
"106","COLERNE STW CATCHMENT"
"107","WOOTTON BASSETT STW CATCHMENT"
"108","RUDGE STW CATCHMENT"
"109","AVONMOUTH STW CATCHMENT"
"110","ALVESTON STW CATCHMENT"
